rank,nick,Name,category,followers,country,engAuth,engAvg
1,jlo,Jennifer Lopez,Music Cinema &  Actors/actresses,253.7M,United States,331.9K,487.5K
2,vindiesel,Vin Diesel,Cinema &  Actors/actresses,102.7M,United States,481.9K,603.6K
3,kanyewest,Ye,Lifestyle,19M,United States,1.1M,2M
4,cznburak,Burak Özdemir,Food &  Cooking,54.7M,Turkey,383.9K,487.9K
5,emrata,Emily Ratajkowski,Modeling,30.1M,United States,513.4K,710K
6,thenotoriousmma,Conor McGregor Official,Fitness &  Gym,47.3M,United States,273.8K,338.5K
7,vladimirshmondenko,VLADIMIR1 & mr ANATOLY,Fitness &  Gym,11.5M,Russia,1M,1.2M
8,otabek_muhammadalievich,Otabek Umarov,,31.3M,Russia,278K,428K
9,hakkiakdenizz,hakki akdeniz,Business &  Careers,32M,Turkey,214.5K,351.5K
10,samoylovaoxana,Samoylova Oxana,Family Lifestyle,15.7M,Russia,482.9K,590.4K
11,kashikakapoor09,Kashika Kapoor,Beauty Lifestyle Cinema &  Actors/actresses,17.6M,India,181K,418.9K
12,tatawerneck,Tata Werneck,Cinema &  Actors/actresses Family,57.2M,Brazil,84.7K,127.1K
13,hannahstocking,Hannah Stocking,Modeling,26.4M,United States,205.8K,268.6K
14,irinashayk,irina shayk,Modeling,23.4M,Russia,236.2K,293.8K
15,araikgalstyanmoscowschool,ARAIK GALSTYAN,Beauty,22.2M,Russia,158.7K,292.1K
16,leonardodicaprio,Leonardo DiCaprio,Cinema &  Actors/actresses,62.2M,United States,81.8K,98.1K
17,neslihanatagul,Neslihan Atagül Doğulu,Cinema &  Actors/actresses Modeling,14.2M,Turkey,324.2K,390.9K
18,subo_m,Субо Мамедов,Shows,12.7M,Russia,305.8K,371.6K
19,rosiehw,Rosie HW,Modeling,19.8M,United States,163.1K,218.2K
20,evcenf,Fahriye Evcen Özçivit,Lifestyle Beauty,13.8M,Turkey,245.7K,309.7K
21,rahimabramov,Rakhim,Shows,6.1M,Russia,413.9K,660.2K
22,schwarzenegger,Arnold Schwarzenegger,Cinema &  Actors/actresses Fitness &  Gym,26.1M,United States,122.7K,152.9K
23,eilirjani,Elton ILIRJANI,Adult content,12.1M,Brazil,126.9K,296.4K
24,adamweitsman,Adam Weitsman,Business &  Careers,20.1M,United States,95.5K,165.1K
25,limitless,Jas Mathur,Business &  Careers Management &  Marketing,12M,United States,100.7K,207.1K
26,pinchuk_official,Ирина Пинчук,,5M,Russia,360.4K,452.2K
27,islam_makhachev,Islam_Makhachev,Fitness &  Gym,8.2M,Russia,208.2K,252.5K
28,brianmaps,Брайн Мапс (Макс Тарасенко),,5.9M,Russia,315K,345.7K
29,borodylia,Ксения Бородина,Shows Family,21.1M,Russia,77K,93.7K
30,bmw,BMW,Cars &  Motorbikes,38.2M,United States,41.1K,49.6K
31,kikakim,Kristina Kim,Lifestyle Music,8.4M,Kazakhstan,194K,223.1K
32,adidas,adidas,Clothing &  Outfits Fitness &  Gym,28.7M,United States,48.7K,60.6K
33,hasbulla.hushetskiy,Hasbulla Magomedov,Lifestyle,8.4M,Russia,169.4K,204.2K
34,khamzat_chimaev,Khamzat Chimaev,Trainers &  Coaches Fitness &  Gym Sports with a ball,7.7M,Russia,157K,191.6K
35,buzova86,Olga Buzova,Music Shows Cinema &  Actors/actresses,24.1M,Russia,47.7K,58.6K
36,love__rose92,Liubava  Rose ❤️ 🌹,Nature & landscapes Lifestyle Travel,5.9M,India,159.1K,236.6K
37,carolinederpienski,CAROLINE MARIA DERPIENSKI,Modeling,8.4M,Russia,40.5K,161.2K
38,abdu_rozik,Abduroziq Official,Music Shows,8.4M,Tajikistan,127.8K,160.1K
39,wengallbi_tm,Ахмед Алиасхабов,Cars &  Motorbikes,4.7M,Russia,226.8K,273.7K
40,meryemuzerlimeryem,meryemuzerlimeryem,Cinema &  Actors/actresses,7.7M,Russia,126.6K,165.1K
41,kvara7,Khvicha Kvaratskhelia,,3.6M,Italy,298.6K,352.5K
42,justking31,Nurtaza Nurbek,Humor &  Fun &  Happiness Family,6.8M,Kazakhstan,127.7K,182.7K
43,urgantcom,Иван Ургант,Shows Cinema &  Actors/actresses,11.9M,Russia,89.6K,100.9K
44,luna_the_pantera,Luna,Lifestyle Animals,4.8M,Russia,195.2K,249.5K
45,jcvd,Jean-Claude Van Damme,Cinema &  Actors/actresses,8.1M,United States,112.6K,145.4K
46,andreybatt,ANDREY BATT,,11M,Russia,88.9K,104K
47,nadin_serovski,Nadin Serovski,Family Lifestyle,9.3M,Russia,28.1K,116.4K
48,francesconappoph,Francesco Nappo,Photography,7.1M,Russia,115.9K,151.1K
49,kateclapp,Kate Clapp / Катя Клэп,Shows,10.2M,Russia,91.6K,100.7K
50,katyagorod,Ekaterina Gorodnicheva,Travel Lifestyle,6.3M,Russia,74.5K,162K
